queryTimestamp,dodoPriceEdgePercentage,timeLag,chainlinkTimestamp,dodoPrice,chainlinkPrice,currencyPair
1618183886.4664962,-1.8071616968112751,3437.466496229172,1618180449,46179.596142,45352.52938559405,YFI-USDC
1618184790.6893172,-0.7201951758255664,4341.68931722641,1618180449,45680.33654,45352.52938559405,YFI-USDC
1618185696.9439912,-0.9890379595024896,5247.943991184235,1618180449,45803.312324,45352.52938559405,YFI-USDC
1618186601.6981845,-0.9890379595024896,6152.698184251785,1618180449,45803.312324,45352.52938559405,YFI-USDC
1618187507.1147792,-2.0290544652893634,290.1147792339325,1618187217,45803.312324,44883.272227371,YFI-USDC
1618188411.8648295,-0.896262879267846,1194.864829540253,1618187217,45287.355158,44883.272227371,YFI-USDC
1618189316.213674,-1.457423188104784,197.21367406845093,1618189119,45074.410043,44422.23759537098,YFI-USDC
1618190220.5572164,-0.3857083266591614,1101.5572164058683,1618189119,44593.90894,44422.23759537098,YFI-USDC
1618191128.11637,-0.9295554228317436,2009.1163699626925,1618189119,44837.095079,44422.23759537098,YFI-USDC
1618192032.4466488,-0.9295554228317436,2913.446648836136,1618189119,44837.095079,44422.23759537098,YFI-USDC
1618192936.685613,-0.9657337634463936,3817.6856129169455,1618189119,44853.319695,44422.23759537098,YFI-USDC
1618193841.0586853,-0.9657337634463936,4722.058685302734,1618189119,44853.319695,44422.23759537098,YFI-USDC
1618194745.3469844,-0.4555316223939773,5626.346984386444,1618189119,44625.056888,44422.23759537098,YFI-USDC
1618195650.385482,-0.4555316223939773,6531.38548207283,1618189119,44625.056888,44422.23759537098,YFI-USDC
1618196556.503877,-1.2801827791740497,607.5038769245148,1618195949,44536.397116,43969.87608201514,YFI-USDC
1618197462.7014298,-1.2801827791740497,1513.7014298439026,1618195949,44536.397116,43969.87608201514,YFI-USDC
1618198367.159156,-1.2801827791740497,2418.1591560840607,1618195949,44536.397116,43969.87608201514,YFI-USDC
1618199271.4112954,-1.8643785188446125,3322.411295413971,1618195949,44797.354673,43969.87608201514,YFI-USDC
1618200175.6968496,-2.0139418395341,4226.69684958458,1618195949,44864.411525,43969.87608201514,YFI-USDC
1618201080.1159773,-2.0139418395341,5131.1159772872925,1618195949,44864.411525,43969.87608201514,YFI-USDC
1618201985.8978786,-2.0139418395341,6036.897878646851,1618195949,44864.411525,43969.87608201514,YFI-USDC
1618202890.5367756,-0.9668849446125268,335.53677558898926,1618202555,44864.411525,44432.71130668415,YFI-USDC
1618203794.8314688,-1.2296420346960295,1239.831468820572,1618202555,44982.454539,44432.71130668415,YFI-USDC
1618204699.437224,-1.2296420346960295,2144.437224149704,1618202555,44982.454539,44432.71130668415,YFI-USDC
1618205603.779843,-1.2296420346960295,3048.7798430919647,1618202555,44982.454539,44432.71130668415,YFI-USDC
