queryTimestamp,dodoPriceEdgePercentage,timeLag,chainlinkTimestamp,dodoPrice,chainlinkPrice,currencyPair
1618033190.8039708,7.0201719794253705,8638.803970813751,1618024552,428.004744,459.1444433324047,COMP-USDC
1618033651.6097348,7.0201719794253705,9099.609734773636,1618024552,428.004744,459.1444433324047,COMP-USDC
1618034106.4564984,7.0201719794253705,9554.456498622894,1618024552,428.004744,459.1444433324047,COMP-USDC
1618034561.1495907,7.0201719794253705,10009.149590730667,1618024552,428.004744,459.1444433324047,COMP-USDC
1618035015.3940537,7.0201719794253705,10463.394053459167,1618024552,428.004744,459.1444433324047,COMP-USDC
1618035470.078279,7.0201719794253705,10918.078279018402,1618024552,428.004744,459.1444433324047,COMP-USDC
1618035924.2555144,7.0201719794253705,11372.255514621736,1618024552,428.004744,459.1444433324047,COMP-USDC
1618036378.6071036,7.0201719794253705,11826.607103586197,1618024552,428.004744,459.1444433324047,COMP-USDC
1618036832.7961507,7.0201719794253705,12280.796150445938,1618024552,428.004744,459.1444433324047,COMP-USDC
1618037287.6732516,7.0201719794253705,12735.673251390455,1618024552,428.004744,459.1444433324047,COMP-USDC
1618037741.8329592,7.0201719794253705,13189.83295917511,1618024552,428.004744,459.1444433324047,COMP-USDC
1618038196.0660017,6.949721795849742,113.06600141525269,1618038083,423.909216,454.4302921186403,COMP-USDC
1618038650.269901,6.949721795849742,567.2699010372163,1618038083,423.909216,454.4302921186403,COMP-USDC
1618039104.460317,6.949721795849742,1021.46031665802,1618038083,423.909216,454.4302921186403,COMP-USDC
1618039558.736299,6.949721795849742,1475.7362990379331,1618038083,423.909216,454.4302921186403,COMP-USDC
1618040013.244147,6.878643001999973,451.2441470623016,1618039562,419.773212,449.6763787137753,COMP-USDC
1618040468.4713702,6.878643001999973,906.4713702201844,1618039562,419.773212,449.6763787137753,COMP-USDC
1618040922.9110491,6.878643001999973,1360.9110486507411,1618039562,419.773212,449.6763787137753,COMP-USDC
1618041377.1198184,6.878643001999973,1815.1198184490204,1618039562,419.773212,449.6763787137753,COMP-USDC
1618041831.282112,6.878643001999973,2269.2821118831635,1618039562,419.773212,449.6763787137753,COMP-USDC
1618042285.540736,6.878643001999973,2723.540735960007,1618039562,419.773212,449.6763787137753,COMP-USDC
1618042739.7487705,6.878643001999973,3177.748770475388,1618039562,419.773212,449.6763787137753,COMP-USDC
